"Changes in Consumer Price Indexes, 2021 through 2024",,,,,,,,,,,,,
Consumer Price Index item,Relative importance1,Month-to-month July 2023 to August 2023,Year-over-year August 2022 to August 2023,Year-to-date avg. 2023 to avg. 2022,Annual 2021,Annual 2022,"20-year historical average 
 (2003–2022)",Forecast range 20232,,,Forecast range 20242,,
,Percent,Percent change,Percent change,Percent change,Percent change,Percent change,Percent change,Percent change,,,Percent change,,
,,,,,,,,Lower,Mid,Upper,Lower,Mid,Upper
All food,100.0,0.2,4.3,5.4,3.9,9.9,2.8,5.4,5.8,6.2,-2.6,2.2,7.3
,,,,,,,,,,,,,
Food away from home,35.9,0.3,6.5,6.3,4.5,7.7,3.1,6.9,7.1,7.4,1.9,4.3,6.8
,,,,,,,,,,,,,
Food at home,64.1,0.1,3.0,4.9,3.5,11.4,2.5,4.6,5.1,5.8,-5.5,1.6,9.5
"Meats, poultry, and fish",12.4,0.7,1.6,1.3,6.8,9.6,3.4,1.1,2.2,3.3,-3.7,3.6,11.9
Meats,7.7,0.6,2.6,1.0,7.7,8.2,3.6,0.8,2.0,3.3,-3.8,4.5,13.2
Beef and veal,3.4,0.7,6.3,1.9,9.3,5.3,4.6,1.8,3.7,5.7,-5.7,6.9,21.3
Pork,2.4,1.8,-1.9,-1.9,8.6,8.7,2.6,-2.7,-1.1,0.4,-8.9,1.6,13.7
Other meats,1.9,-1.2,2.9,4.2,2.9,14.2,2.7,3.2,4.1,5.1,-5.2,0.7,7.4
Poultry,2.6,1.0,-0.1,2.6,5.1,14.6,2.9,2.4,3.3,4.2,-1.6,3.6,9.2
Fish and seafood,2.1,0.7,0.1,0.7,5.4,9.1,3.3,0.1,1.0,1.9,-3.8,1.3,6.7
Eggs,0.8,-2.5,-18.2,7.1,4.5,32.2,4.7,-3.2,0.1,4.0,-33.5,-14.1,12.2
Dairy products,5.9,-0.3,0.3,4.3,1.4,12.0,2.3,3.2,3.9,4.7,-7.5,-0.4,7.2
,,,,,,,,,,,,,
Fats and oils,1.9,0.1,4.7,8.7,4.6,18.5,3.2,8.1,9.2,10.4,-5.6,4.1,15.0
Fruits and vegetables,11.0,-0.3,2.1,2.4,3.2,8.5,2.2,1.4,2.4,3.4,-5.6,0.6,7.3
Fresh fruits and vegetables,8.2,-0.3,0.8,0.7,3.3,7.5,2.1,-0.6,0.6,1.8,-6.9,0.7,8.9
Fresh fruits,4.3,-0.4,0.6,0.3,5.5,7.9,2.1,-1.2,0.1,1.6,-7.5,0.2,8.5
Fresh vegetables,3.8,-0.1,1.0,1.1,1.1,7.0,2.2,-0.5,1.0,2.6,-8.0,0.0,8.8
Processed fruits and vegetables,2.9,-0.5,6.2,7.8,2.9,12.0,2.6,7.5,8.6,9.7,-1.8,5.6,13.5
Sugar and sweets,2.3,0.6,8.0,7.9,3.0,10.4,2.5,8.6,9.4,10.1,0.6,6.2,12.3
Cereals and bakery products,8.7,0.1,6.0,8.3,2.3,13.0,2.6,8.1,8.8,9.4,-4.3,3.3,11.6
Nonalcoholic beverages,7.7,0.3,4.8,6.9,2.8,11.0,1.9,6.7,7.5,8.3,-1.7,3.9,9.9
Other foods,13.3,0.1,3.9,6.4,2.2,12.7,2.1,6.5,7.2,7.9,-0.9,5.0,11.2
"Notes: The most recent forecast was published on September 25, 2023. The next forecast will be published on October 25, 2023.",,,,,,,,,,,,,
"1Bureau of Labor Statistics estimated expenditure shares, July, 2023. Food prices represent 13.4 percent of the total CPI.",,,,,,,,,,,,,
2About this table:,,,,,,,,,,,,,
"1. Forecasts are grouped in three columns by the lower-bound, midpoint, and upper-bound of the prediction interval.",,,,,,,,,,,,,
2. Each cell represents the percent change range for each point in the forecast. NA: not available.,,,,,,,,,,,,,
"Source: U.S. Bureau of Labor Statistics Consumer Price Indexes (not seasonally adjusted) and forecasts by USDA, Economic Research Service.",,,,,,,,,,,,,
"For questions, contact:",,,,,,,,,,,,,
"Matthew MacLachlan, matthew.maclachlan@usda.gov or Megan Sweitzer, megan.sweitzer@usda.gov",,,,,,,,,,,,,
