Table Physical Name,Table Label,Table Description,Seq ,Column Physical Name,Column Label,Table Column Description,Logical Data Type,Physical Data Type,Not Null?,Size,Precision,Minimum,Maximum,Units of Measure,Domain Name
chaashto,Horizon AASHTO,The Horizon AASHTO table contains the American Association of State Highway Transportation Officials classification(s) for the referenced horizon. One row in this table is marked as the representative AASHTO classification for the horizon.,1,aashtocl,AASHTO,"A rating based on a system that classifies soils according to those properties that affect roadway construction and maintenance. Soils are classified into seven basic groups plus eight subgroups, for a total of fifteen for mineral soils. Another class for organic soils is used. The groups are based on determinations of particle-size distribution, liquid limit, and plasticity index. The group classification, including group index, is useful in determining the relative quality of the soil material for use in earthwork structures, particularly embankments, subgrades, subbases, and bases. (American Association fo State Highway and Transportation Officials)",Choice,Varchar,No,254,NA,NA,NA,NA,aashto_group_classification
chaashto,Horizon AASHTO,The Horizon AASHTO table contains the American Association of State Highway Transportation Officials classification(s) for the referenced horizon. One row in this table is marked as the representative AASHTO classification for the horizon.,2,rvindicator,RV?,A yes/no field that indicates if a value or row (set of values) is representative for the component.,Boolean,Varchar,Yes,3,NA,NA,NA,NA,NA
chaashto,Horizon AASHTO,The Horizon AASHTO table contains the American Association of State Highway Transportation Officials classification(s) for the referenced horizon. One row in this table is marked as the representative AASHTO classification for the horizon.,3,chkey,Chorizon Key,A non-connotative string of characters used to uniquely identify a record in the Horizon table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chaashto,Horizon AASHTO,The Horizon AASHTO table contains the American Association of State Highway Transportation Officials classification(s) for the referenced horizon. One row in this table is marked as the representative AASHTO classification for the horizon.,4,chaashtokey,Chorizon AASHTO Key,A non-connotative string of characters used to uniquely identify a record in the Horizon AASHTO table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",1,rupresblkmst,Rupture Moist,The rupture resistance of a block-shaped specimen of 25 to 30 mm size and moist water state. (SSM),Choice,Varchar,No,254,NA,NA,NA,NA,rupture_resist_block_moist
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",2,rupresblkdry,Rupture Dry,The rupture resistance of a block-shaped specimen of 25 to 30 mm size and dry water state. (SSM),Choice,Varchar,No,254,NA,NA,NA,NA,rupture_resist_block_dry
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",3,rupresblkcem,Rupture Cement,The rupture resistance of a block-like specimen of 25 to 30 mm size that has been air dried and then submerged in water. (SSM),Choice,Varchar,No,254,NA,NA,NA,NA,rupture_resist_block_cem
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",4,rupresplate,Rupture Plate,The rupture resistance of an air dry plate-shaped specimen of specified size. (SSM),Choice,Varchar,No,254,NA,NA,NA,NA,rupture_resist_plate
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",5,mannerfailure,Manner of Failure,The manner in which soil specimens fail under increasing force. (SSM),Choice,Varchar,No,254,NA,NA,NA,NA,manner_of_failure
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",6,stickiness,Stickiness,The maximum capacity of thoroughly puddled soil to adhere to other objects.,Choice,Varchar,No,254,NA,NA,NA,NA,stickiness
